primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
5051272962,505127,5127,5,REPUBLICAN,-94.06315729,34.86103868,2962
505129588,505129,5129,5,DEMOCRAT,-92.69933958,35.91115674,588
5051293365,505129,5129,5,REPUBLICAN,-92.69933958,35.91115674,3365
50513114487,505131,5131,5,DEMOCRAT,-94.27397371,35.19943145,14487
50513131198,505131,5131,5,REPUBLICAN,-94.27397371,35.19943145,31198
5051331116,505133,5133,5,DEMOCRAT,-94.24072249,33.9971421,1116
5051333884,505133,5133,5,REPUBLICAN,-94.24072249,33.9971421,3884
5051351398,505135,5135,5,DEMOCRAT,-91.47928351,36.16124847,1398
5051355938,505135,5135,5,REPUBLICAN,-91.47928351,36.16124847,5938
5051371180,505137,5137,5,DEMOCRAT,-92.15689859,35.86003074,1180
5051374616,505137,5137,5,REPUBLICAN,-92.15689859,35.86003074,4616
5051395584,505139,5139,5,DEMOCRAT,-92.59770646,33.17125929,5584
50513910478,505139,5139,5,REPUBLICAN,-92.59770646,33.17125929,10478
5051411593,505141,5141,5,DEMOCRAT,-92.51610324,35.58054667,1593
5051416034,505141,5141,5,REPUBLICAN,-92.51610324,35.58054667,6034
50514343824,505143,5143,5,DEMOCRAT,-94.21571712,35.97899668,43824
50514347504,505143,5143,5,REPUBLICAN,-94.21571712,35.97899668,47504
5051455978,505145,5145,5,DEMOCRAT,-91.74548804,35.25612459,5978
50514524182,505145,5145,5,REPUBLICAN,-91.74548804,35.25612459,24182
505147856,505147,5147,5,DEMOCRAT,-91.24302721,35.18620495,856
5051471543,505147,5147,5,REPUBLICAN,-91.24302721,35.18620495,1543
5051491284,505149,5149,5,DEMOCRAT,-93.41105962,35.00270728,1284
5051495226,505149,5149,5,REPUBLICAN,-93.41105962,35.00270728,5226
606001617659,606001,6001,6,DEMOCRAT,-121.888612,37.64642367,617659
606001136309,606001,6001,6,REPUBLICAN,-121.888612,37.64642367,136309
606003476,606003,6003,6,DEMOCRAT,-119.8206263,38.59721624,476
606003244,606003,6003,6,REPUBLICAN,-119.8206263,38.59721624,244
6060058153,606005,6005,6,DEMOCRAT,-120.651296,38.44638702,8153
60600513585,606005,6005,6,REPUBLICAN,-120.651296,38.44638702,13585
60600750815,606007,6007,6,DEMOCRAT,-121.6008508,39.66681952,50815
60600748819,606007,6007,6,REPUBLICAN,-121.6008508,39.66681952,48819
60600910046,606009,6009,6,DEMOCRAT,-120.554132,38.20478056,10046
60600916518,606009,6009,6,REPUBLICAN,-120.554132,38.20478056,16518
6060113239,606011,6011,6,DEMOCRAT,-122.2363987,39.17719198,3239
6060114559,606011,6011,6,REPUBLICAN,-122.2363987,39.17719198,4559
606013416386,606013,6013,6,DEMOCRAT,-121.9281273,37.91933375,416386
606013152877,606013,6013,6,REPUBLICAN,-121.9281273,37.91933375,152877
6060154677,606015,6015,6,DEMOCRAT,-123.8971513,41.74323775,4677
6060156461,606015,6015,6,REPUBLICAN,-123.8971513,41.74323775,6461
60601751621,606017,6017,6,DEMOCRAT,-120.5247066,38.77888901,51621
60601761838,606017,6017,6,REPUBLICAN,-120.5247066,38.77888901,61838
606019193025,606019,6019,6,DEMOCRAT,-119.6506833,36.75807672,193025
606019164464,606019,6019,6,REPUBLICAN,-119.6506833,36.75807672,164464
6060213995,606021,6021,6,DEMOCRAT,-122.3921982,39.59788378,3995
6060217063,606021,6021,6,REPUBLICAN,-122.3921982,39.59788378,7063
60602344768,606023,6023,6,DEMOCRAT,-123.8755258,40.69940115,44768
60602321770,606023,6023,6,REPUBLICAN,-123.8755258,40.69940115,21770
60602534678,606025,6025,6,DEMOCRAT,-115.3657218,33.03935669,34678
60602520847,606025,6025,6,REPUBLICAN,-115.3657218,33.03935669,20847
6060274634,606027,6027,6,DEMOCRAT,-117.4113187,36.51173415,4634
6060274620,606027,6027,6,REPUBLICAN,-117.4113187,36.51173415,4620
606029133366,606029,6029,6,DEMOCRAT,-118.72959,35.34292819,133366
606029164484,606029,6029,6,REPUBLICAN,-118.72959,35.34292819,164484
60603118699,606031,6031,6,DEMOCRAT,-119.8151995,36.07520008,18699
60603124072,606031,6031,6,REPUBLICAN,-119.8151995,36.07520008,24072
60603314941,606033,6033,6,DEMOCRAT,-122.7532352,39.0996887,14941
60603313123,606033,6033,6,REPUBLICAN,-122.7532352,39.0996887,13123
6060352799,606035,6035,6,DEMOCRAT,-120.5947447,40.6733613,2799
6060358970,606035,6035,6,REPUBLICAN,-120.5947447,40.6733613,8970
6060373028885,606037,6037,6,DEMOCRAT,-118.224703,34.32134579,3028885
6060371145530,606037,6037,6,REPUBLICAN,-118.224703,34.32134579,1145530
60603923168,606039,6039,6,DEMOCRAT,-119.7624357,37.21825802,23168
60603929378,606039,6039,6,REPUBLICAN,-119.7624357,37.21825802,29378
606041128288,606041,6041,6,DEMOCRAT,-122.7234103,38.07351203,128288
60604124612,606041,6041,6,REPUBLICAN,-122.7234103,38.07351203,24612
6060434088,606043,6043,6,DEMOCRAT,-119.9053183,37.58143472,4088
6060435950,606043,6043,6,REPUBLICAN,-119.9053183,37.58143472,5950
60604528782,606045,6045,6,DEMOCRAT,-123.3914743,39.44027921,28782
60604513267,606045,6045,6,REPUBLICAN,-123.3914743,39.44027921,13267
60604748991,606047,6047,6,DEMOCRAT,-120.7175058,37.19189197,48991
60604739397,606047,6047,6,REPUBLICAN,-120.7175058,37.19189197,39397
6060491150,606049,6049,6,DEMOCRAT,-120.7251192,41.58969344,1150
6060493109,606049,6049,6,REPUBLICAN,-120.7251192,41.58969344,3109
